Metric,Value,Category
AdjOE,121.305,Offensive
AdjOE,126.433,Offensive
AdjOE,127.524,Offensive
AdjOE,130.368,Offensive
AdjOE,123.956,Offensive
AdjOE,123.084,Offensive
AdjOE,120.873,Offensive
AdjOE,120.99,Offensive
AdjOE,123.403,Offensive
AdjOE,124.994,Offensive
AdjOE,128.952,Offensive
AdjOE,127.756,Offensive
AdjOE,125.017,Offensive
AdjOE,121.003,Offensive
AdjOE,117.68,Offensive
AdjOE,124.454,Offensive
AdjOE,122.468,Offensive
AdjOE,122.308,Offensive
AdjOE,122.182,Offensive
AdjOE,124.454,Offensive
AdjOE,119.906,Offensive
AdjOE,120.847,Offensive
AdjOE,118.353,Offensive
AdjOE,122.761,Offensive
AdjOE,120.391,Offensive
AdjOE,118.028,Offensive
AdjOE,120.991,Offensive
AdjOE,117.221,Offensive
AdjOE,118.896,Offensive
AdjOE,123.248,Offensive
AdjOE,120.672,Offensive
AdjOE,122.773,Offensive
AdjOE,116.269,Offensive
AdjOE,120.981,Offensive
AdjOE,119.961,Offensive
AdjOE,122.65,Offensive
AdjOE,125.225,Offensive
AdjOE,118.934,Offensive
AdjOE,115.772,Offensive
AdjOE,123.471,Offensive
AdjOE,118.086,Offensive
AdjOE,122.13,Offensive
AdjOE,116.463,Offensive
AdjOE,115.593,Offensive
AdjOE,114.136,Offensive
AdjOE,118.126,Offensive
AdjOE,122.419,Offensive
AdjOE,118.019,Offensive
AdjOE,120.799,Offensive
AdjOE,124.433,Offensive
AdjOE,117.596,Offensive
AdjOE,115.177,Offensive
AdjOE,120.033,Offensive
AdjOE,120.637,Offensive
AdjOE,119.154,Offensive
AdjOE,120.812,Offensive
AdjOE,120.981,Offensive
AdjOE,116.015,Offensive
AdjOE,117.971,Offensive
AdjOE,116.539,Offensive
AdjOE,118.703,Offensive
AdjOE,121.223,Offensive
AdjOE,122.442,Offensive
AdjOE,118.328,Offensive
AdjOE,112.839,Offensive
AdjOE,115.037,Offensive
AdjOE,114.848,Offensive
AdjOE,122.004,Offensive
AdjOE,116.533,Offensive
AdjOE,119.719,Offensive
AdjOE,118.933,Offensive
AdjOE,117.828,Offensive
AdjOE,114.504,Offensive
AdjOE,117.938,Offensive
AdjOE,120.675,Offensive
AdjOE,120.38,Offensive
AdjOE,121.9,Offensive
AdjOE,123.442,Offensive
AdjOE,120.546,Offensive
AdjOE,121.706,Offensive
AdjOE,114.725,Offensive
AdjOE,115.333,Offensive
AdjOE,116.779,Offensive
AdjOE,118.876,Offensive
AdjOE,119.698,Offensive
AdjOE,119.073,Offensive
AdjOE,118.144,Offensive
AdjOE,115.678,Offensive
AdjOE,119.385,Offensive
AdjOE,118.512,Offensive
AdjOE,119.187,Offensive
AdjOE,125.007,Offensive
AdjOE,117.631,Offensive
AdjOE,115.723,Offensive
